Rank,Title,Sales,Series,Platform(s),Initial release date,Developer(s),Publisher(s),Release Year
1,Minecraft,238000000,Minecraft,Multi-platform,18-Nov-11,Mojang Studios,Xbox Game Studios,2011
2,Grand Theft Auto V,175000000,Grand Theft Auto,Multi-platform,17-Sep-13,Rockstar North,Rockstar Games,2013
3,Tetris (EA),100000000,Tetris,Multi-platform,12-Sep-06,EA Mobile,Electronic Arts,2006
4,Wii Sports,82900000,Wii,Wii,19-Nov-06,Nintendo EAD,Nintendo,2006
5,PUBG: Battlegrounds,75000000,PUBG Universe,Multi-platform,20-Dec-17,PUBG Corporation,PUBG Corporation,2017
6,Mario Kart 8 / Deluxe,60460000,Mario Kart,Wii U / Switch,29-May-14,Nintendo EAD,Nintendo,2014
7,Super Mario Bros.,58000000,Super Mario,Multi-platform,13-Sep-85,Nintendo R&D4,Nintendo,1985
8,Red Dead Redemption 2,50000000,Red Dead,Multi-platform,26-Oct-18,Rockstar Studios,Rockstar Games,2018
9,Pokémon Red / Green / Blue / Yellow,47520000,Pokémon,Multi-platform,27-Feb-96,Game Freak,Nintendo,1996
10,Terraria,44500000,None,Multi-platform,16-May-11,Re-Logic,Re-Logic / 505 Games,2011
11,Wii Fit / Plus,43800000,Wii,Wii,1-Dec-07,Nintendo EAD,Nintendo,2007
12,Tetris (1989),43000000,Tetris,Game Boy / NES,14-Jun-89,Nintendo R&D1,Nintendo,1989
13,Pac-Man,42071635,Pac-Man,Multi-platform,22-May-80,Namco,Namco,1980
14,Animal Crossing: New Horizons,41590000,Animal Crossing,Nintendo Switch,20-Mar-20,Nintendo EPD,Nintendo,2020
15,Human: Fall Flat,40000000,None,Multi-platform,22-Jul-16,No Brakes Games,Curve Digital,2016
15,The Witcher 3 / Hearts of Stone / Blood and Wine,40000000,The Witcher,Multi-platform,19-May-15,CD Projekt Red,CD Projekt,2015
17,Mario Kart Wii,37380000,Mario Kart,Wii,10-Apr-08,Nintendo EAD,Nintendo,2008
18,Wii Sports Resort,33140000,Wii,Wii,25-Jun-09,Nintendo EAD,Nintendo,2009
19,New Super Mario Bros.,30800000,Super Mario,Nintendo DS,15-May-06,Nintendo EAD,Nintendo,2006
